method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention
Raw prompt,001-83927,dev,42,0,0,0,42,100.0,1.000
Raw prompt,001-79436,dev,37,0,0,0,37,100.0,1.000
Raw prompt,001-61815,dev,71,0,0,0,71,100.0,1.000
Raw prompt,001-95183,dev,55,0,0,0,55,100.0,1.000
Raw prompt,001-126979,dev,35,0,0,0,35,100.0,1.000
Raw prompt,001-83617,dev,40,0,0,0,40,100.0,1.000
Raw prompt,001-81368,dev,48,0,0,0,48,100.0,1.000
Raw prompt,001-57508,dev,174,0,0,0,174,100.0,1.000
Raw prompt,001-114244,dev,90,0,0,0,90,100.0,1.000
Raw prompt,001-89991,dev,42,0,0,0,42,100.0,1.000
Raw prompt,001-70759,dev,28,0,0,0,28,100.0,1.000
Raw prompt,001-79012,dev,73,0,0,0,73,100.0,1.000
Raw prompt,001-86146,dev,83,0,0,0,83,100.0,1.000
Raw prompt,001-109046,dev,146,0,0,0,146,100.0,1.000
Raw prompt,001-94981,dev,45,0,0,0,45,100.0,1.000
Raw prompt,001-67466,dev,92,0,0,0,92,100.0,1.000
Raw prompt,001-61228,dev,73,0,0,0,73,100.0,1.000
Raw prompt,001-67470,dev,128,0,0,0,128,100.0,1.000
Raw prompt,001-106448,dev,51,0,0,0,51,100.0,1.000
Raw prompt,001-89184,dev,53,0,0,0,53,100.0,1.000
Raw prompt,001-97110,dev,40,0,0,0,40,100.0,1.000
Raw prompt,001-101444,dev,36,0,0,0,36,100.0,1.000
Raw prompt,001-61549,dev,84,0,0,0,84,100.0,1.000
Raw prompt,001-86867,dev,63,0,0,0,63,100.0,1.000
Raw prompt,001-70179,dev,50,0,0,0,50,100.0,1.000
Raw prompt,001-148610,dev,50,0,0,0,50,100.0,1.000
Raw prompt,001-75466,dev,28,0,0,0,28,100.0,1.000
Raw prompt,001-105006,dev,39,0,0,0,39,100.0,1.000
Raw prompt,001-111540,dev,88,0,0,0,88,100.0,1.000
Raw prompt,001-69774,dev,54,0,0,0,54,100.0,1.000
Raw prompt,001-81191,dev,49,0,0,0,49,100.0,1.000
Raw prompt,001-60696,dev,50,0,0,0,50,100.0,1.000
Raw prompt,001-90710,dev,36,0,0,0,36,100.0,1.000
Raw prompt,001-87407,dev,107,0,0,0,107,100.0,1.000
Raw prompt,001-58744,dev,90,0,0,0,90,100.0,1.000
Raw prompt,001-58134,dev,132,0,0,0,132,100.0,1.000
Raw prompt,001-66723,dev,34,0,0,0,34,100.0,1.000
Raw prompt,001-94737,dev,37,0,0,0,37,100.0,1.000
Raw prompt,001-61100,dev,68,0,0,0,68,100.0,1.000
Raw prompt,001-78431,dev,36,0,0,0,36,100.0,1.000
Raw prompt,001-88502,dev,41,0,0,0,41,100.0,1.000
Raw prompt,001-59864,dev,80,0,0,0,80,100.0,1.000
Raw prompt,001-61816,dev,82,0,0,0,82,100.0,1.000
Raw prompt,001-92615,dev,33,0,0,0,33,100.0,1.000
Raw prompt,001-70729,dev,49,0,0,0,49,100.0,1.000
Raw prompt,001-58913,dev,113,0,0,0,113,100.0,1.000
Raw prompt,001-91063,dev,43,0,0,0,43,100.0,1.000
Raw prompt,001-82485,dev,44,0,0,0,44,100.0,1.000
Raw prompt,001-108409,dev,34,0,0,0,34,100.0,1.000
Raw prompt,001-57804,dev,125,0,0,0,125,100.0,1.000
Raw prompt,001-83613,dev,52,0,0,0,52,100.0,1.000
Raw prompt,001-71938,dev,64,0,0,0,64,100.0,1.000
Raw prompt,001-60516,dev,31,0,0,0,31,100.0,1.000
Raw prompt,001-85722,dev,31,0,0,0,31,100.0,1.000
Raw prompt,001-67582,dev,32,0,0,0,32,100.0,1.000
Raw prompt,001-58807,dev,116,0,0,0,116,100.0,1.000
Raw prompt,001-59205,dev,55,0,0,0,55,100.0,1.000
Raw prompt,001-99929,dev,162,0,0,0,162,100.0,1.000
Raw prompt,001-57698,dev,118,0,0,0,118,100.0,1.000
Raw prompt,001-85667,dev,42,0,0,0,42,100.0,1.000
Raw prompt,001-87462,dev,31,0,0,0,31,100.0,1.000
Raw prompt,001-84819,dev,103,0,0,0,103,100.0,1.000
Raw prompt,001-88377,dev,81,0,0,0,81,100.0,1.000
Raw prompt,001-87448,dev,103,0,0,0,103,100.0,1.000
Raw prompt,001-93953,dev,90,0,0,0,90,100.0,1.000
Raw prompt,001-83337,dev,43,0,0,0,43,100.0,1.000
Raw prompt,001-160998,dev,133,0,0,0,133,100.0,1.000
Raw prompt,001-91090,dev,45,0,0,0,45,100.0,1.000
Raw prompt,001-85665,dev,55,0,0,0,55,100.0,1.000
Raw prompt,001-58018,dev,79,0,0,0,79,100.0,1.000
Raw prompt,001-86341,dev,36,0,0,0,36,100.0,1.000
Raw prompt,001-90163,dev,28,0,0,0,28,100.0,1.000
Raw prompt,001-87515,dev,96,0,0,0,96,100.0,1.000
Raw prompt,001-82601,dev,57,0,0,0,57,100.0,1.000
Raw prompt,001-61376,dev,57,0,0,0,57,100.0,1.000
Raw prompt,001-87426,dev,93,0,0,0,93,100.0,1.000
Raw prompt,001-173265,dev,122,0,0,0,122,100.0,1.000
Raw prompt,001-60492,dev,46,0,0,0,46,100.0,1.000
Raw prompt,001-84283,dev,49,0,0,0,49,100.0,1.000
Raw prompt,001-87405,dev,56,0,0,0,56,100.0,1.000
Raw prompt,001-91094,dev,45,0,0,0,45,100.0,1.000
Raw prompt,001-83327,dev,37,0,0,0,37,100.0,1.000
Raw prompt,001-76762,dev,53,0,0,0,53,100.0,1.000
Raw prompt,001-87483,dev,43,0,0,0,43,100.0,1.000
Raw prompt,001-102115,dev,179,0,0,0,179,100.0,1.000
Raw prompt,001-91286,dev,173,0,0,0,173,100.0,1.000
Raw prompt,001-58039,dev,153,0,0,0,153,100.0,1.000
Raw prompt,001-89321,dev,96,0,0,0,96,100.0,1.000
Raw prompt,001-58835,dev,70,0,0,0,70,100.0,1.000
Raw prompt,001-57819,dev,151,0,0,0,151,100.0,1.000
Raw prompt,001-60886,dev,134,0,0,0,134,100.0,1.000
Raw prompt,001-169481,dev,150,0,0,0,150,100.0,1.000
Raw prompt,001-70364,dev,88,0,0,0,88,100.0,1.000
Raw prompt,001-67243,dev,79,0,0,0,79,100.0,1.000
Raw prompt,001-60613,dev,134,0,0,0,134,100.0,1.000
Raw prompt,001-68421,dev,91,0,0,0,91,100.0,1.000
Raw prompt,001-60596,dev,156,0,0,0,156,100.0,1.000
Raw prompt,001-57563,dev,119,0,0,0,119,100.0,1.000
Raw prompt,001-58841,dev,106,0,0,0,106,100.0,1.000
Raw prompt,001-60499,dev,90,0,0,0,90,100.0,1.000
Raw prompt,001-82501,dev,176,0,0,0,176,100.0,1.000
Raw prompt,001-60605,dev,137,0,0,0,137,100.0,1.000
Raw prompt,001-110322,dev,147,0,0,0,147,100.0,1.000
Raw prompt,001-84285,dev,139,0,0,0,139,100.0,1.000
Raw prompt,001-60884,dev,116,0,0,0,116,100.0,1.000
Raw prompt,001-61135,dev,77,0,0,0,77,100.0,1.000
Raw prompt,001-57441,dev,92,0,0,0,92,100.0,1.000
Raw prompt,001-66845,dev,39,0,0,0,39,100.0,1.000
Raw prompt,001-61134,dev,83,0,0,0,83,100.0,1.000
Raw prompt,001-58590,dev,109,0,0,0,109,100.0,1.000
Raw prompt,001-58284,dev,94,0,0,0,94,100.0,1.000
Raw prompt,001-59855,dev,74,0,0,0,74,100.0,1.000
Raw prompt,001-97995,dev,63,0,0,0,63,100.0,1.000
Raw prompt,001-59858,dev,74,0,0,0,74,100.0,1.000
Raw prompt,001-95364,dev,103,0,0,0,103,100.0,1.000
Raw prompt,001-83979,dev,53,0,0,0,53,100.0,1.000
Raw prompt,001-108462,dev,55,0,0,0,55,100.0,1.000
Raw prompt,001-90131,dev,69,0,0,0,69,100.0,1.000
Raw prompt,001-57562,dev,125,0,0,0,125,100.0,1.000
Raw prompt,001-103304,dev,57,0,0,0,57,100.0,1.000
Raw prompt,001-81359,dev,120,0,0,0,120,100.0,1.000
Raw prompt,001-58097,dev,97,0,0,0,97,100.0,1.000
Raw prompt,001-57721,dev,115,0,0,0,115,100.0,1.000
Raw prompt,001-59859,dev,75,0,0,0,75,100.0,1.000
Raw prompt,001-97149,dev,100,0,0,0,100,100.0,1.000
Raw prompt,001-69128,dev,54,0,0,0,54,100.0,1.000
Raw prompt,001-159211,dev,161,0,0,0,161,100.0,1.000
Raw prompt,001-61807,test,35,0,0,0,35,100.0,1.000
Raw prompt,001-61253,test,91,0,0,0,91,100.0,1.000
Raw prompt,001-66929,test,30,0,0,0,30,100.0,1.000
Raw prompt,001-159913,test,42,0,0,0,42,100.0,1.000
Raw prompt,001-61227,test,89,0,0,0,89,100.0,1.000
Raw prompt,001-90749,test,120,0,0,0,120,100.0,1.000
Raw prompt,001-79346,test,93,0,0,0,93,100.0,1.000
Raw prompt,001-61744,test,62,0,0,0,62,100.0,1.000
